# A multilayer network using explicit format.
# Figure 3
*Vertices 94. Trees: 19; Animals: 75.
# node_id name
2 46 2 13 0
2 47 2 13 0
2 48 2 13 0
2 49 2 13 0
2 50 2 13 0
2 51 2 13 0
2 52 2 13 0
2 53 2 13 0
2 54 2 13 0
2 55 2 13 0
2 56 2 13 0
2 57 2 13 0
2 58 2 13 3
2 59 2 13 0
2 60 2 13 0
2 61 2 13 0.5
2 62 2 13 0
2 63 2 13 0
2 64 2 13 0.5
2 65 2 13 0
2 66 2 13 0
2 67 2 13 11
2 68 2 13 0.5
2 69 2 13 1
2 70 2 13 0
2 71 2 13 1
2 72 2 13 1.5
2 73 2 13 0
2 31 2 14 0
2 32 2 14 0
2 33 2 14 0
2 34 2 14 0
2 35 2 14 0
2 36 2 14 0
2 37 2 14 0
2 38 2 14 0
2 39 2 14 2
2 40 2 14 0
2 41 2 14 0
2 42 2 14 0
2 43 2 14 0
2 44 2 14 21.5
2 45 2 14 0
2 46 2 14 0
2 47 2 14 0
2 48 2 14 0
2 49 2 14 0
2 50 2 14 0
2 51 2 14 0
2 52 2 14 0
2 53 2 14 0
2 54 2 14 0
2 55 2 14 0
2 56 2 14 0
2 57 2 14 0
2 58 2 14 0
2 59 2 14 0
2 60 2 14 0
2 61 2 14 0
2 62 2 14 0
2 63 2 14 0
2 64 2 14 0
2 65 2 14 0
2 66 2 14 0
2 67 2 14 1
2 68 2 14 0
2 69 2 14 0
2 70 2 14 0
2 71 2 14 0
2 72 2 14 0
2 73 2 14 0
2 31 2 15 0
2 32 2 15 0
2 33 2 15 0
2 34 2 15 0
2 35 2 15 0
2 36 2 15 0
2 37 2 15 0
2 38 2 15 0
2 39 2 15 0
2 40 2 15 0
2 41 2 15 0.5
2 42 2 15 0.5
2 43 2 15 0
2 44 2 15 16
2 45 2 15 0
2 46 2 15 0.5
2 47 2 15 2.5
2 48 2 15 0
2 49 2 15 0.5
2 50 2 15 0
2 51 2 15 0.5
2 52 2 15 0
2 53 2 15 0
2 54 2 15 0.5
2 55 2 15 0.5
2 56 2 15 0
2 57 2 15 0
2 58 2 15 0
2 59 2 15 0
2 60 2 15 0
2 61 2 15 0
2 62 2 15 0
2 63 2 15 0
2 64 2 15 0
2 65 2 15 0
2 66 2 15 0
2 67 2 15 4
2 68 2 15 1
2 69 2 15 2
2 70 2 15 0
2 71 2 15 0
2 72 2 15 0
2 73 2 15 0
2 31 2 16 0
2 32 2 16 0
2 33 2 16 0
2 34 2 16 0
2 35 2 16 0
2 36 2 16 0
2 37 2 16 0
2 38 2 16 0
2 39 2 16 1.5
2 40 2 16 0
2 41 2 16 0
2 42 2 16 0
2 43 2 16 0
2 44 2 16 6.5
2 45 2 16 0
2 46 2 16 0
2 47 2 16 3.5
2 48 2 16 0
2 49 2 16 0
2 50 2 16 0
2 51 2 16 0
2 52 2 16 0
2 53 2 16 0.5
2 54 2 16 0
2 55 2 16 0
2 56 2 16 0
2 57 2 16 0
2 58 2 16 0
2 59 2 16 0
2 60 2 16 0
2 61 2 16 0
2 62 2 16 0
2 63 2 16 0
2 64 2 16 0
2 65 2 16 0
2 66 2 16 0
2 67 2 16 1.5
2 68 2 16 0
2 69 2 16 0
2 70 2 16 0
2 71 2 16 0
2 72 2 16 0
2 73 2 16 0
2 31 2 17 0
2 32 2 17 0
2 33 2 17 0
2 34 2 17 0
2 35 2 17 0
2 36 2 17 0
2 37 2 17 0
2 38 2 17 0
2 39 2 17 1
2 40 2 17 0
2 41 2 17 0
2 42 2 17 0.5
2 43 2 17 0
2 44 2 17 1.5
2 45 2 17 0
2 46 2 17 0
2 47 2 17 0
2 48 2 17 0
2 49 2 17 0
2 50 2 17 0
2 51 2 17 0
2 52 2 17 0
2 53 2 17 0
2 54 2 17 0
2 55 2 17 0
2 56 2 17 0
2 57 2 17 0
2 58 2 17 0
2 59 2 17 0
2 60 2 17 0
2 61 2 17 0
2 62 2 17 0
2 63 2 17 0
2 64 2 17 2
2 65 2 17 0
2 66 2 17 0.5
2 67 2 17 11.5
2 68 2 17 1
2 69 2 17 2.5
2 70 2 17 0
2 71 2 17 2
2 72 2 17 1
2 73 2 17 0
2 31 2 18 0
2 32 2 18 0
2 33 2 18 0
2 34 2 18 0
2 35 2 18 0
2 36 2 18 0
2 37 2 18 0
2 38 2 18 0
2 39 2 18 0.5
2 40 2 18 0
2 41 2 18 0.5
2 42 2 18 1
2 43 2 18 0
2 44 2 18 22.5
2 45 2 18 0
2 46 2 18 0
2 47 2 18 0
2 48 2 18 0
2 49 2 18 0
2 50 2 18 0
2 51 2 18 1
2 52 2 18 0
2 53 2 18 0
2 54 2 18 0
2 55 2 18 0.5
2 56 2 18 0
2 57 2 18 0
2 58 2 18 0
2 59 2 18 0
2 60 2 18 0
2 61 2 18 0
2 62 2 18 0
2 63 2 18 0
2 64 2 18 0
2 65 2 18 0
2 66 2 18 0
2 67 2 18 0.5
2 68 2 18 0
2 69 2 18 0
2 70 2 18 0
2 71 2 18 0
2 72 2 18 0
2 73 2 18 0
2 31 2 19 0
2 32 2 19 0
2 33 2 19 0
